state,district,pincode,demo_age_5_17,demo_age_17_,enroll_age_0_5,enroll_age_5_17,enroll_age_18_greater,bio_age_5_17,bio_age_17_,enroll_ratio_5_17,enroll_ratio_17_plus,bio_ratio_5_17,bio_ratio_17_plus
100000,100000,100000,0.0,2.0,0.0,1.0,217.0,0.0,0.0,1.0,108.5,0.0,0.0
Andaman & Nicobar Islands,Andamans,744101,4.0,299.0,8.0,1.0,0.0,177.0,1147.0,0.25,0.0,44.25,3.8361204013377925
Andaman & Nicobar Islands,Andamans,744102,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666
Andaman & Nicobar Islands,Andamans,744103,1.0,147.0,24.0,1.0,0.0,63.0,152.0,1.0,0.0,63.0,1.034013605442177
Andaman & Nicobar Islands,Andamans,744105,1.0,135.0,22.0,0.0,0.0,43.0,157.0,0.0,0.0,43.0,1.162962962962963
Andaman & Nicobar Islands,Andamans,744106,0.0,66.0,3.0,2.0,0.0,37.0,125.0,2.0,0.0,37.0,1.893939393939394
Andaman & Nicobar Islands,Andamans,744107,1.0,32.0,6.0,1.0,0.0,6.0,33.0,1.0,0.0,6.0,1.03125
Andaman & Nicobar Islands,Andamans,744112,0.0,20.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,15.0,1.2
Andaman & Nicobar Islands,Andamans,744202,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Andaman & Nicobar Islands,Andamans,744206,0.0,34.0,5.0,0.0,0.0,2.0,24.0,0.0,0.0,2.0,0.7058823529411765
Andaman & Nicobar Islands,Andamans,744207,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Andaman & Nicobar Islands,Andamans,744209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Andaman & Nicobar Islands,Andamans,744211,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Andaman & Nicobar Islands,Nicobars,744301,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.25
Andaman & Nicobar Islands,South Andaman,744102,0.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8333333333333334
Andaman & Nicobar Islands,South Andaman,744103,2.0,102.0,12.0,0.0,0.0,20.0,70.0,0.0,0.0,10.0,0.6862745098039216
Andaman & Nicobar Islands,South Andaman,744105,4.0,85.0,10.0,0.0,0.0,29.0,93.0,0.0,0.0,7.25,1.0941176470588236
Andaman & Nicobar Islands,South Andaman,744107,0.0,33.0,6.0,0.0,0.0,11.0,47.0,0.0,0.0,11.0,1.4242424242424243
Andaman & Nicobar Islands,South Andaman,744206,0.0,72.0,8.0,0.0,0.0,1.0,90.0,0.0,0.0,1.0,1.25
Andaman & Nicobar Islands,South Andaman,744207,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Andaman and Nicobar Islands,Nicobar,744301,46.0,644.0,56.0,11.0,0.0,330.0,402.0,0.2391304347826087,0.0,7.173913043478261,0.6242236024844721
Andaman and Nicobar Islands,Nicobar,744302,3.0,25.0,3.0,0.0,0.0,196.0,108.0,0.0,0.0,65.33333333333333,4.32
Andaman and Nicobar Islands,Nicobar,744303,6.0,45.0,4.0,0.0,0.0,386.0,251.0,0.0,0.0,64.33333333333333,5.5777777777777775
Andaman and Nicobar Islands,Nicobar,744304,3.0,15.0,1.0,0.0,0.0,80.0,58.0,0.0,0.0,26.666666666666668,3.8666666666666667
Andaman and Nicobar Islands,North And Middle Andaman,744201,1.0,91.0,11.0,1.0,0.0,500.0,361.0,1.0,0.0,500.0,3.967032967032967
Andaman and Nicobar Islands,North And Middle Andaman,744202,99.0,1408.0,49.0,3.0,0.0,1452.0,1020.0,0.030303030303030304,0.0,14.666666666666666,0.7244318181818182
Andaman and Nicobar Islands,North And Middle Andaman,744203,0.0,5.0,5.0,0.0,0.0,11.0,9.0,0.0,0.0,11.0,1.8
Andaman and Nicobar Islands,North And Middle Andaman,744204,7.0,154.0,20.0,0.0,0.0,606.0,479.0,0.0,0.0,86.57142857142857,3.1103896103896105
Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,144.0,26.0,0.0,0.0,813.0,449.0,0.0,0.0,406.5,3.1180555555555554
Andaman and Nicobar Islands,North And Middle Andaman,744209,3.0,55.0,8.0,0.0,0.0,243.0,154.0,0.0,0.0,81.0,2.8
Andaman and Nicobar Islands,North And Middle Andaman,744210,0.0,39.0,9.0,0.0,0.0,155.0,131.0,0.0,0.0,155.0,3.358974358974359
Andaman and Nicobar Islands,North And Middle Andaman,744211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,South Andaman,744101,59.0,333.0,22.0,2.0,0.0,1038.0,546.0,0.03389830508474576,0.0,17.593220338983052,1.6396396396396395
Andaman and Nicobar Islands,South Andaman,744102,40.0,190.0,29.0,3.0,0.0,353.0,228.0,0.075,0.0,8.825,1.2
Andaman and Nicobar Islands,South Andaman,744103,83.0,633.0,23.0,1.0,0.0,1290.0,681.0,0.012048192771084338,0.0,15.542168674698795,1.0758293838862558
Andaman and Nicobar Islands,South Andaman,744104,1.0,19.0,6.0,0.0,0.0,55.0,38.0,0.0,0.0,55.0,2.0
Andaman and Nicobar Islands,South Andaman,744105,134.0,946.0,43.0,1.0,0.0,1406.0,783.0,0.007462686567164179,0.0,10.492537313432836,0.8276955602536998
Andaman and Nicobar Islands,South Andaman,744106,36.0,230.0,15.0,1.0,0.0,357.0,228.0,0.027777777777777776,0.0,9.916666666666666,0.991304347826087
Andaman and Nicobar Islands,South Andaman,744107,31.0,144.0,4.0,0.0,0.0,513.0,195.0,0.0,0.0,16.548387096774192,1.3541666666666667
Andaman and Nicobar Islands,South Andaman,744112,19.0,59.0,4.0,0.0,0.0,96.0,60.0,0.0,0.0,5.052631578947368,1.0169491525423728
Andaman and Nicobar Islands,South Andaman,744206,15.0,169.0,19.0,2.0,0.0,474.0,238.0,0.13333333333333333,0.0,31.6,1.4082840236686391
Andaman and Nicobar Islands,South Andaman,744207,8.0,171.0,13.0,2.0,0.0,854.0,382.0,0.25,0.0,106.75,2.2339181286549707
Andaman and Nicobar Islands,South Andaman,744210,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Andaman and Nicobar Islands,South Andaman,744211,8.0,63.0,0.0,0.0,0.0,193.0,110.0,0.0,0.0,24.125,1.746031746031746
Andhra Pradesh,Adilabad,504001,118.0,1417.0,65.0,4.0,0.0,813.0,2817.0,0.03389830508474576,0.0,6.889830508474576,1.9880028228652082
Andhra Pradesh,Adilabad,504101,22.0,194.0,12.0,0.0,0.0,142.0,231.0,0.0,0.0,6.454545454545454,1.190721649484536
Andhra Pradesh,Adilabad,504102,34.0,151.0,16.0,1.0,0.0,220.0,461.0,0.029411764705882353,0.0,6.470588235294118,3.052980132450331
Andhra Pradesh,Adilabad,504103,139.0,1061.0,30.0,5.0,0.0,661.0,1538.0,0.03597122302158273,0.0,4.755395683453237,1.4495758718190386
Andhra Pradesh,Adilabad,504104,10.0,126.0,1.0,1.0,0.0,78.0,189.0,0.1,0.0,7.8,1.5
Andhra Pradesh,Adilabad,504105,48.0,306.0,2.0,0.0,0.0,106.0,224.0,0.0,0.0,2.2083333333333335,0.7320261437908496
Andhra Pradesh,Adilabad,504106,69.0,563.0,19.0,3.0,1.0,429.0,1063.0,0.043478260869565216,0.0017761989342806395,6.217391304347826,1.8880994671403197
Andhra Pradesh,Adilabad,504109,40.0,312.0,19.0,2.0,0.0,218.0,486.0,0.05,0.0,5.45,1.5576923076923077
Andhra Pradesh,Adilabad,504110,1.0,23.0,0.0,0.0,0.0,11.0,40.0,0.0,0.0,11.0,1.7391304347826086
Andhra Pradesh,Adilabad,504201,113.0,1250.0,32.0,1.0,0.0,361.0,928.0,0.008849557522123894,0.0,3.1946902654867255,0.7424
Andhra Pradesh,Adilabad,504202,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.6
Andhra Pradesh,Adilabad,504203,48.0,355.0,9.0,3.0,0.0,386.0,605.0,0.0625,0.0,8.041666666666666,1.704225352112676
Andhra Pradesh,Adilabad,504204,46.0,393.0,12.0,8.0,0.0,222.0,754.0,0.17391304347826086,0.0,4.826086956521739,1.9185750636132315
Andhra Pradesh,Adilabad,504205,84.0,724.0,11.0,2.0,0.0,230.0,736.0,0.023809523809523808,0.0,2.738095238095238,1.0165745856353592
Andhra Pradesh,Adilabad,504206,67.0,573.0,8.0,1.0,0.0,182.0,534.0,0.014925373134328358,0.0,2.716417910447761,0.9319371727748691
Andhra Pradesh,Adilabad,504207,61.0,565.0,25.0,3.0,0.0,224.0,591.0,0.04918032786885246,0.0,3.6721311475409837,1.0460176991150443
Andhra Pradesh,Adilabad,504208,50.0,496.0,39.0,5.0,0.0,465.0,947.0,0.1,0.0,9.3,1.909274193548387
Andhra Pradesh,Adilabad,504209,10.0,139.0,12.0,1.0,0.0,85.0,153.0,0.1,0.0,8.5,1.1007194244604317
Andhra Pradesh,Adilabad,504214,47.0,700.0,18.0,8.0,0.0,205.0,1021.0,0.1702127659574468,0.0,4.361702127659575,1.4585714285714286
Andhra Pradesh,Adilabad,504215,72.0,776.0,32.0,8.0,0.0,292.0,810.0,0.1111111111111111,0.0,4.055555555555555,1.0438144329896908
Andhra Pradesh,Adilabad,504216,83.0,428.0,19.0,2.0,0.0,160.0,358.0,0.024096385542168676,0.0,1.927710843373494,0.8364485981308412
Andhra Pradesh,Adilabad,504218,5.0,65.0,0.0,0.0,0.0,29.0,49.0,0.0,0.0,5.8,0.7538461538461538
Andhra Pradesh,Adilabad,504219,112.0,673.0,13.0,7.0,0.0,277.0,1780.0,0.0625,0.0,2.4732142857142856,2.6448736998514115
Andhra Pradesh,Adilabad,504220,2.0,39.0,1.0,0.0,0.0,8.0,34.0,0.0,0.0,4.0,0.8717948717948718
Andhra Pradesh,Adilabad,504231,53.0,518.0,33.0,6.0,0.0,247.0,702.0,0.11320754716981132,0.0,4.660377358490566,1.3552123552123552
Andhra Pradesh,Adilabad,504251,171.0,1275.0,28.0,10.0,0.0,401.0,1867.0,0.05847953216374269,0.0,2.345029239766082,1.4643137254901961
Andhra Pradesh,Adilabad,504272,26.0,319.0,7.0,1.0,0.0,138.0,505.0,0.038461538461538464,0.0,5.3076923076923075,1.5830721003134796
Andhra Pradesh,Adilabad,504273,93.0,636.0,39.0,26.0,0.0,386.0,1437.0,0.27956989247311825,0.0,4.150537634408602,2.259433962264151
Andhra Pradesh,Adilabad,504292,42.0,516.0,15.0,4.0,0.0,173.0,553.0,0.09523809523809523,0.0,4.119047619047619,1.071705426356589
Andhra Pradesh,Adilabad,504293,71.0,1051.0,20.0,14.0,0.0,407.0,920.0,0.19718309859154928,0.0,5.732394366197183,0.8753568030447193
Andhra Pradesh,Adilabad,504294,31.0,467.0,50.0,9.0,0.0,343.0,1665.0,0.2903225806451613,0.0,11.064516129032258,3.565310492505353
Andhra Pradesh,Adilabad,504295,39.0,814.0,27.0,15.0,0.0,195.0,734.0,0.38461538461538464,0.0,5.0,0.9017199017199017
Andhra Pradesh,Adilabad,504296,117.0,1454.0,92.0,19.0,0.0,559.0,2093.0,0.1623931623931624,0.0,4.777777777777778,1.4394773039889959
Andhra Pradesh,Adilabad,504299,196.0,3080.0,97.0,32.0,0.0,1109.0,4715.0,0.16326530612244897,0.0,5.658163265306122,1.530844155844156
Andhra Pradesh,Adilabad,504301,18.0,188.0,15.0,4.0,0.0,74.0,220.0,0.2222222222222222,0.0,4.111111111111111,1.1702127659574468
Andhra Pradesh,Adilabad,504302,6.0,236.0,17.0,5.0,0.0,139.0,290.0,0.8333333333333334,0.0,23.166666666666668,1.228813559322034
Andhra Pradesh,Adilabad,504303,12.0,148.0,8.0,0.0,0.0,56.0,107.0,0.0,0.0,4.666666666666667,0.722972972972973
Andhra Pradesh,Adilabad,504304,11.0,140.0,6.0,1.0,0.0,64.0,191.0,0.09090909090909091,0.0,5.818181818181818,1.3642857142857143
Andhra Pradesh,Adilabad,504306,30.0,166.0,7.0,0.0,0.0,82.0,214.0,0.0,0.0,2.7333333333333334,1.2891566265060241
Andhra Pradesh,Adilabad,504307,52.0,469.0,55.0,7.0,0.0,219.0,698.0,0.1346153846153846,0.0,4.211538461538462,1.488272921108742
Andhra Pradesh,Adilabad,504308,33.0,350.0,27.0,3.0,0.0,117.0,457.0,0.09090909090909091,0.0,3.5454545454545454,1.3057142857142856
Andhra Pradesh,Adilabad,504309,34.0,517.0,11.0,3.0,0.0,193.0,950.0,0.08823529411764706,0.0,5.676470588235294,1.8375241779497098
Andhra Pradesh,Adilabad,504310,15.0,106.0,1.0,1.0,0.0,93.0,119.0,0.06666666666666667,0.0,6.2,1.1226415094339623
Andhra Pradesh,Adilabad,504311,86.0,1349.0,57.0,22.0,0.0,546.0,2511.0,0.2558139534883721,0.0,6.348837209302325,1.8613787991104522
Andhra Pradesh,Adilabad,504312,44.0,259.0,20.0,11.0,0.0,273.0,889.0,0.25,0.0,6.204545454545454,3.4324324324324325
Andhra Pradesh,Adilabad,504313,112.0,995.0,83.0,18.0,0.0,428.0,944.0,0.16071428571428573,0.0,3.8214285714285716,0.9487437185929648
Andhra Pradesh,Adilabad,504323,1.0,8.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.625
Andhra Pradesh,Adilabad,504346,22.0,300.0,27.0,5.0,0.0,160.0,692.0,0.22727272727272727,0.0,7.2727272727272725,2.3066666666666666
Andhra Pradesh,Alluri Sitharama Raju,507111,45.0,762.0,28.0,6.0,0.0,170.0,141.0,0.13333333333333333,0.0,3.7777777777777777,0.18503937007874016
Andhra Pradesh,Alluri Sitharama Raju,507113,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,507121,3.0,167.0,14.0,1.0,2.0,116.0,124.0,0.3333333333333333,0.011976047904191617,38.666666666666664,0.7425149700598802
Andhra Pradesh,Alluri Sitharama Raju,507126,1.0,29.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,20.0,0.27586206896551724
Andhra Pradesh,Alluri Sitharama Raju,507129,69.0,555.0,39.0,10.0,0.0,414.0,197.0,0.14492753623188406,0.0,6.0,0.35495495495495494
Andhra Pradesh,Alluri Sitharama Raju,507134,26.0,194.0,26.0,1.0,0.0,217.0,66.0,0.038461538461538464,0.0,8.346153846153847,0.3402061855670103
Andhra Pradesh,Alluri Sitharama Raju,507135,14.0,173.0,10.0,2.0,0.0,146.0,191.0,0.14285714285714285,0.0,10.428571428571429,1.1040462427745665
Andhra Pradesh,Alluri Sitharama Raju,531024,85.0,615.0,90.0,9.0,2.0,438.0,883.0,0.10588235294117647,0.0032520325203252032,5.152941176470589,1.4357723577235773
Andhra Pradesh,Alluri Sitharama Raju,531027,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,531029,120.0,879.0,84.0,16.0,3.0,572.0,685.0,0.13333333333333333,0.0034129692832764505,4.766666666666667,0.7792946530147895
Andhra Pradesh,Alluri Sitharama Raju,531030,9.0,24.0,4.0,0.0,0.0,72.0,34.0,0.0,0.0,8.0,1.4166666666666667
Andhra Pradesh,Alluri Sitharama Raju,531040,120.0,1226.0,125.0,8.0,6.0,708.0,1326.0,0.06666666666666667,0.004893964110929853,5.9,1.0815660685154975
Andhra Pradesh,Alluri Sitharama Raju,531077,114.0,902.0,109.0,4.0,4.0,426.0,640.0,0.03508771929824561,0.004434589800443459,3.736842105263158,0.7095343680709535
Andhra Pradesh,Alluri Sitharama Raju,531084,39.0,258.0,23.0,0.0,0.0,128.0,128.0,0.0,0.0,3.282051282051282,0.49612403100775193
Andhra Pradesh,Alluri Sitharama Raju,531087,61.0,345.0,45.0,2.0,0.0,305.0,276.0,0.03278688524590164,0.0,5.0,0.8
Andhra Pradesh,Alluri Sitharama Raju,531105,21.0,180.0,22.0,12.0,3.0,94.0,134.0,0.5714285714285714,0.016666666666666666,4.476190476190476,0.7444444444444445
Andhra Pradesh,Alluri Sitharama Raju,531110,0.0,9.0,1.0,0.0,1.0,27.0,12.0,0.0,0.1111111111111111,27.0,1.3333333333333333
Andhra Pradesh,Alluri Sitharama Raju,531111,140.0,705.0,83.0,7.0,6.0,764.0,752.0,0.05,0.00851063829787234,5.457142857142857,1.0666666666666667
Andhra Pradesh,Alluri Sitharama Raju,531114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,531115,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,531116,10.0,79.0,15.0,2.0,0.0,21.0,39.0,0.2,0.0,2.1,0.4936708860759494
Andhra Pradesh,Alluri Sitharama Raju,531118,32.0,116.0,28.0,3.0,1.0,142.0,214.0,0.09375,0.008620689655172414,4.4375,1.8448275862068966
Andhra Pradesh,Alluri Sitharama Raju,531133,56.0,406.0,32.0,1.0,0.0,279.0,228.0,0.017857142857142856,0.0,4.982142857142857,0.5615763546798029
Andhra Pradesh,Alluri Sitharama Raju,531149,41.0,450.0,32.0,2.0,0.0,480.0,485.0,0.04878048780487805,0.0,11.707317073170731,1.0777777777777777
Andhra Pradesh,Alluri Sitharama Raju,531151,34.0,188.0,55.0,2.0,4.0,475.0,434.0,0.058823529411764705,0.02127659574468085,13.970588235294118,2.3085106382978724
Andhra Pradesh,Alluri Sitharama Raju,533284,4.0,39.0,9.0,1.0,0.0,26.0,20.0,0.25,0.0,6.5,0.5128205128205128
Andhra Pradesh,Alluri Sitharama Raju,533285,19.0,64.0,12.0,0.0,1.0,31.0,17.0,0.0,0.015625,1.631578947368421,0.265625
Andhra Pradesh,Alluri Sitharama Raju,533286,4.0,33.0,5.0,0.0,0.0,21.0,14.0,0.0,0.0,5.25,0.42424242424242425
Andhra Pradesh,Alluri Sitharama Raju,533288,95.0,457.0,46.0,4.0,1.0,713.0,1043.0,0.042105263157894736,0.002188183807439825,7.505263157894737,2.2822757111597376
Andhra Pradesh,Alluri Sitharama Raju,533295,159.0,699.0,17.0,3.0,0.0,261.0,364.0,0.018867924528301886,0.0,1.6415094339622642,0.5207439198855508
Andhra Pradesh,Alluri Sitharama Raju,533339,9.0,52.0,8.0,0.0,0.0,147.0,124.0,0.0,0.0,16.333333333333332,2.3846153846153846
Andhra Pradesh,Alluri Sitharama Raju,533347,14.0,111.0,5.0,3.0,0.0,117.0,61.0,0.21428571428571427,0.0,8.357142857142858,0.5495495495495496
Andhra Pradesh,Alluri Sitharama Raju,533348,2.0,25.0,4.0,3.0,0.0,68.0,25.0,1.5,0.0,34.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,533351,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0
Andhra Pradesh,Alluri Sitharama Raju,533352,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,533428,30.0,148.0,18.0,3.0,0.0,256.0,216.0,0.1,0.0,8.533333333333333,1.4594594594594594
Andhra Pradesh,Alluri Sitharama Raju,533429,2.0,30.0,2.0,0.0,0.0,14.0,25.0,0.0,0.0,7.0,0.8333333333333334
Andhra Pradesh,Alluri Sitharama Raju,533436,108.0,844.0,25.0,2.0,0.0,205.0,291.0,0.018518518518518517,0.0,1.8981481481481481,0.3447867298578199
Andhra Pradesh,Alluri Sitharama Raju,533483,56.0,350.0,60.0,9.0,0.0,278.0,455.0,0.16071428571428573,0.0,4.964285714285714,1.3
