state,district,pincode,demo_age_5_17,demo_age_17_,enroll_age_0_5,enroll_age_5_17,enroll_age_18_greater,bio_age_5_17,bio_age_17_,enroll_ratio_5_17,enroll_ratio_17_plus,bio_ratio_5_17,bio_ratio_17_plus
Chhattisgarh,ManendragarhChirmiriBharatpur,497449,0.0,0.0,0.0,0.0,0.0,44.0,268.0,0.0,0.0,44.0,268.0
Tamil Nadu,Tiruchirappalli,622002,0.0,0.0,3.0,3.0,0.0,4.0,66.0,3.0,0.0,4.0,66.0
Telangana,Medchal?malkajgiri,500056,0.0,0.0,0.0,0.0,0.0,46.0,31.0,0.0,0.0,46.0,31.0
Telangana,Medchal?malkajgiri,500039,0.0,0.0,0.0,0.0,0.0,40.0,29.0,0.0,0.0,40.0,29.0
Andhra Pradesh,Nizamabad,503306,5.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.2,23.0
Maharashtra,Amravati,444708,38.0,404.0,107.0,3.0,0.0,2599.0,8582.0,0.07894736842105263,0.0,68.39473684210526,21.242574257425744
Kerala,Palakkad,678574,3.0,30.0,22.0,3.0,0.0,255.0,624.0,1.0,0.0,85.0,20.8
Tamil Nadu,Perambalur,621714,1.0,2.0,0.0,0.0,0.0,9.0,40.0,0.0,0.0,9.0,20.0
Tamil Nadu,Tiruchirappalli,622104,1.0,1.0,2.0,1.0,0.0,2.0,19.0,1.0,0.0,2.0,19.0
Kerala,Palakkad,678573,1.0,41.0,19.0,2.0,0.0,292.0,764.0,2.0,0.0,292.0,18.634146341463413
Telangana,Medchal?malkajgiri,500043,0.0,0.0,0.0,0.0,0.0,26.0,18.0,0.0,0.0,26.0,18.0
Haryana,Jhajjar,124201,11.0,94.0,63.0,0.0,0.0,743.0,1656.0,0.0,0.0,67.54545454545455,17.617021276595743
Punjab,Jalandhar,144031,1.0,38.0,11.0,2.0,0.0,176.0,654.0,2.0,0.0,176.0,17.210526315789473
Maharashtra,Buldana,443403,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0
Jharkhand,Purbi Singhbhum,832105,0.0,1.0,2.0,1.0,0.0,6.0,17.0,1.0,0.0,6.0,17.0
Himachal Pradesh,Una,174507,3.0,2.0,0.0,0.0,0.0,6.0,33.0,0.0,0.0,2.0,16.5
Telangana,Medchal?malkajgiri,501301,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,15.0,16.0
Maharashtra,Nandurbar *,425416,0.0,1.0,3.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,16.0
Telangana,Medchal?malkajgiri,500014,0.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,22.0,15.0
Tamil Nadu,Ariyalur,621653,19.0,37.0,12.0,1.0,0.0,156.0,551.0,0.05263157894736842,0.0,8.210526315789474,14.891891891891891
Nagaland,Phek,797107,42.0,245.0,100.0,225.0,18.0,676.0,3402.0,5.357142857142857,0.07346938775510205,16.095238095238095,13.885714285714286
Madhya Pradesh,Hoshangabad,461228,0.0,6.0,7.0,0.0,0.0,24.0,80.0,0.0,0.0,24.0,13.333333333333334
Maharashtra,Amravati,444810,16.0,100.0,25.0,0.0,0.0,587.0,1329.0,0.0,0.0,36.6875,13.29
Haryana,Kurukshetra,136136,14.0,103.0,40.0,2.0,0.0,452.0,1358.0,0.14285714285714285,0.0,32.285714285714285,13.184466019417476
Haryana,Jhajjar,124412,4.0,37.0,23.0,1.0,0.0,195.0,487.0,0.25,0.0,48.75,13.162162162162161
Gujarat,Gir Somnath,362269,5.0,19.0,17.0,1.0,0.0,264.0,250.0,0.2,0.0,52.8,13.157894736842104
Meghalaya,West Garo Hills,794003,1.0,7.0,1.0,1.0,6.0,63.0,91.0,1.0,0.8571428571428571,63.0,13.0
Telangana,Medchal?malkajgiri,500083,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,11.0,13.0
Himachal Pradesh,Mandi,175018,10.0,52.0,37.0,3.0,0.0,214.0,676.0,0.3,0.0,21.4,13.0
Himachal Pradesh,Mandi,175002,5.0,71.0,37.0,0.0,1.0,468.0,910.0,0.0,0.014084507042253521,93.6,12.816901408450704
Madhya Pradesh,Hoshangabad,461551,3.0,17.0,13.0,0.0,0.0,155.0,213.0,0.0,0.0,51.666666666666664,12.529411764705882
Chhattisgarh,Dantewada,494449,284.0,503.0,186.0,37.0,0.0,2212.0,6218.0,0.13028169014084506,0.0,7.788732394366197,12.36182902584493
Madhya Pradesh,Hoshangabad,461110,7.0,17.0,16.0,0.0,0.0,181.0,206.0,0.0,0.0,25.857142857142858,12.117647058823529
Madhya Pradesh,Betul,461228,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,5.0,12.0
Puducherry,Pondicherry,607402,0.0,1.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,2.0,12.0
Telangana,Medchal?malkajgiri,500085,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,19.0,12.0
Karnataka,Vijayanagara,583136,35.0,242.0,36.0,8.0,0.0,733.0,2882.0,0.22857142857142856,0.0,20.942857142857143,11.909090909090908
Maharashtra,Wardha,442305,36.0,606.0,76.0,7.0,0.0,2027.0,7175.0,0.19444444444444445,0.0,56.30555555555556,11.83993399339934
Madhya Pradesh,Khargone,451220,25.0,258.0,100.0,27.0,0.0,1906.0,2917.0,1.08,0.0,76.24,11.306201550387597
Andhra Pradesh,East Godavari,533295,41.0,117.0,48.0,2.0,0.0,1102.0,1315.0,0.04878048780487805,0.0,26.878048780487806,11.239316239316238
Andhra Pradesh,Visakhapatnam,535273,39.0,71.0,25.0,3.0,0.0,520.0,797.0,0.07692307692307693,0.0,13.333333333333334,11.225352112676056
Gujarat,Panch Mahals,389210,0.0,1.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0
Telangana,Nizamabad,503125,7.0,88.0,8.0,3.0,0.0,444.0,958.0,0.42857142857142855,0.0,63.42857142857143,10.886363636363637
Punjab,Jalandhar,144311,2.0,25.0,5.0,4.0,0.0,148.0,270.0,2.0,0.0,74.0,10.8
Himachal Pradesh,Mandi,175021,4.0,55.0,14.0,0.0,2.0,409.0,580.0,0.0,0.03636363636363636,102.25,10.545454545454545
