state,district,pincode,demo_age_5_17,demo_age_17_,enroll_age_0_5,enroll_age_5_17,enroll_age_18_greater,bio_age_5_17,bio_age_17_,enroll_ratio_5_17,enroll_ratio_17_plus,bio_ratio_5_17,bio_ratio_17_plus
Jammu and Kashmir,Kathua,184145,1.0,50.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,23.0,0.48
Jammu and Kashmir,Budgam,190014,6.0,16.0,3.0,0.0,0.0,26.0,6.0,0.0,0.0,4.333333333333333,0.375
Jammu and Kashmir,Baramula,193501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Tamil Nadu,Chennai,600022,0.0,4.0,4.0,0.0,0.0,6.0,5.0,0.0,0.0,6.0,1.25
Uttar Pradesh,Jalaun,284203,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Uttar Pradesh,Jalaun,284122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Uttar Pradesh,Hathras,281404,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Uttar Pradesh,Hathras,281301,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.2857142857142857
Uttar Pradesh,Hathras,281201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,Chennai,600050,37.0,294.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.02702702702702703,0.04081632653061224
Tamil Nadu,Chennai,600025,5.0,13.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,2.0,0.3076923076923077
Tamil Nadu,Chengalpattu,603307,4.0,47.0,5.0,0.0,0.0,12.0,2.0,0.0,0.0,3.0,0.0425531914893617
Jammu and Kashmir,Kathua,184121,0.0,38.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0,11.0,0.21052631578947367
Jammu and Kashmir,Kathua,182204,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
Jammu and Kashmir,Kathua,180012,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jammu and Kashmir,Jammu,181143,6.0,213.0,45.0,0.0,0.0,98.0,146.0,0.0,0.0,16.333333333333332,0.6854460093896714
Tamil Nadu,Chennai,600103,16.0,179.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0625,0.0223463687150838
Tamil Nadu,Chennai,600104,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
Uttar Pradesh,Jhansi,284405,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666
Uttar Pradesh,Kanpur Dehat,209205,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0
Uttar Pradesh,Jyotiba Phule Nagar *,244236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jyotiba Phule Nagar,244501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Uttar Pradesh,Jyotiba Phule Nagar,244304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jyotiba Phule Nagar,244255,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jyotiba Phule Nagar,244242,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jyotiba Phule Nagar,244235,0.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25
Uttar Pradesh,Jyotiba Phule Nagar,244225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,Chennai,600110,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir,Baramula,193109,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir,Baramula,193108,9.0,135.0,1.0,0.0,0.0,8.0,36.0,0.0,0.0,0.8888888888888888,0.26666666666666666
Jammu and Kashmir,Baramula,192231,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Jammu and Kashmir,Doda,184203,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir,Doda,182315,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir,Budgam,192123,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Jammu and Kashmir,Budgam,191132,2.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5,0.3333333333333333
Uttar Pradesh,Hapur,201009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Uttar Pradesh,Hapur,201206,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Hapur,201201,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Hapur,201015,11.0,64.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.18181818181818182,0.03125
Uttar Pradesh,Hapur,201014,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5
Uttar Pradesh,Hapur,201013,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Hapur,201012,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2857142857142857
Uttar Pradesh,Hapur,201011,0.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.25
Uttar Pradesh,Hapur,201010,0.0,16.0,1.0,0.0,0.0,7.0,10.0,0.0,0.0,7.0,0.625
Uttar Pradesh,Hapur,201309,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
Uttar Pradesh,Hapur,201006,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Uttar Pradesh,Hamirpur,210421,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Hamirpur,210209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,Coimbatore,638401,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Tamil Nadu,Coimbatore,638460,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,Coimbatore,638462,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir,Pulwama,192124,9.0,13.0,11.0,0.0,0.0,84.0,52.0,0.0,0.0,9.333333333333334,4.0
Uttar Pradesh,Jaunpur,230201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Tamil Nadu,Chennai,600066,20.0,225.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.05,0.03111111111111111
Jammu and Kashmir,Kulgam,192233,0.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.6666666666666666
Jammu and Kashmir,Kishtwar,182315,2.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.5,0.3333333333333333
Jammu and Kashmir,Kishtwar,182206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Uttar Pradesh,Jhansi,284402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Uttar Pradesh,Jhansi,284136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jhansi,284124,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jhansi,284123,0.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2727272727272727
Uttar Pradesh,Kanpur Dehat,209206,0.0,27.0,0.0,0.0,1.0,4.0,2.0,0.0,0.037037037037037035,4.0,0.07407407407407407
Uttar Pradesh,Jaunpur,230125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Uttar Pradesh,Jaunpur,229410,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Uttar Pradesh,Jalaun,284403,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0
Uttar Pradesh,Jalaun,284303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Jalaun,284302,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,Hathras,281005,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Uttar Pradesh,Hardoi,241127,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Jammu & Kashmir,Srinagar,190011,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0
Jammu & Kashmir,Udhampur,182320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Udhampur,182301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Udhampur,182125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Udhampur,182121,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Udhampur,182101,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Jammu & Kashmir,Srinagar,191131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Srinagar,191102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Srinagar,190019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Udhampur,184205,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
Jammu & Kashmir,Srinagar,190010,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Srinagar,190006,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Srinagar,190003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Srinagar,190002,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Jammu & Kashmir,Srinagar,190001,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.3333333333333333
Jammu & Kashmir,Rajauri,185212,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Tamil Nadu,Chengalpattu,603314,0.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,0.08333333333333333
Jammu & Kashmir,Rajauri,185135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jammu & Kashmir,Rajauri,185203,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Rajauri,185202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Rajauri,185201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Rajauri,185156,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Jammu & Kashmir,Rajauri,185155,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
Jammu & Kashmir,Rajauri,185153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Rajauri,185152,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Rajauri,185151,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.75
Tamil Nadu,Chengalpattu,603401,3.0,55.0,6.0,0.0,0.0,54.0,10.0,0.0,0.0,18.0,0.18181818181818182
Jammu & Kashmir,Rajauri,185131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu & Kashmir,Punch,185121,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Jammu & Kashmir,Punch,185111,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
Jammu & Kashmir,Punch,185102,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
